Job Title,Job Description,Rating,Company Name,Location,Size,Type of ownership,Industry,Sector,Revenue
Senior Business Analyst - Instruction Capture Change,"This position is to work as a Business Analyst on the strategic validation engine application (VET), part of the Instruction Capture Change. The build-out of VET continues at pace and is delivering on the goal to deliver a utility validation platform across CIB. The rapid growth has led to an opportunity for a Business Analyst who has a strong desire to work in a dynamic and fast-paced change environment.

As the successful candidate you will be able to develop a keen understanding of the business needs, and secure a strong understanding of the processes and responsibilities of all those involved in the business workflow. You will articulate these requirements into User Stories with clear acceptance criteria. Your confidence working with multiple stakeholders, strategic mindset and drive to innovate will further enhance our strategic application to take on additional volume with features second-to-none.

We are a progressive team looking to attract the best talent. As such we welcome all candidates including those looking for a Flexible Working Arrangement.

Key responsibilities would include:

Requirements gathering and clear articulation to wider team of developers, testers and Operations Users
End-to-end responsibility for delivering your User Stories into production
Clear stakeholder communication and management throughout the build cycle
Developing and acting on migration plans to smoothly but quickly move from old applications to the new strategic suite
Ensuring our Utility strategy is maintained across different instruments and Lines of Business
Gaining agreement on the implementation approach that balances the principles of the VET application, the future state technology architecture and the future state operating model

Qualifications - Internal

Excellent analytical and problem solving skills
Comfortable with technical detail as well as operational needs
Business analysis skills
Testing experience an advantage
Custody knowledge desirable
Strong time-management skills
Experience of Agile development methodologies
Attention to detail
Strong communication, and presentation skills
Ability to work alone and as an effective part of team
Understanding of Transaction Capture processes is essential
Strong Data Analysis skills an advantage (MS Excel, Alteryx, SQL)
SQL knowledge an advantage
J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",3.8,"JPMorgan Chase Bank, N.A.
3.8","Bournemouth, England",10000+ Employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$10+ billion (USD)
Cyber Security Operations Analyst (Remote),"As Cyber Security Operations Analyst you will provide operational support for the day-to-day running of the Security Operations Services. The successful candidate will be working to ensure the efficient and effective operation of security infrastructure and delivery of security services - including vulnerability management; threat intelligence; threat detection/hunting and mitigation; emergency operations and security incident management processes.

The Company

Our client is a market leading provider of business solutions, consultancy and finance services using technology to support their clients.

The Person

You will have proven experience of working within a Security Operations Centre (SOC) with hands on Information Security experience. It would be desirable, but not essential, for you to have, or to be working towards, CISSP or GCIA/GCIH certification. You will also have knowledge / experience of:

IEM
IDS/IPS
Vulnerability Assessment.
Endpoint Detection & response
Email Security
DLP
AV / Anti Malware
Cloud Security

If you wish to be considered for the role of Cyber Security Operations Analyst, please forward your CV quoting reference 303579S

WE REGRET WE CAN ONLY ACCEPT APPLICATIONS FROM PERSONS AUTHORISED TO WORK WITHIN THE UK

Applications are invited with experience in: cyber security ops operations analyst remote CISSP GCIA GCIH SOC Security Operation Centre security infrastructure email security cloud security

ThreePeople advertises vacancies on behalf of clients. If your CV matches our client's requirements, we will forward your details to them to confirm your suitability. By applying for this role, you consent to the submission of your details for this purpose only. Any data processed will be used for recruitment purposes only and will be not be retained by ThreePeople for a period longer than 6 months.",-1,Three People,"Bristol, England",-1,Subsidiary or Business Segment,-1,-1,-1
GDE Senior Information Analyst - Band 6 FTC,"Global Digital Exemplar (GDE) Senior Information Analyst

Contracting, Performance, Systems & Information

Wayside House, Wilsons Lane, Coventry
5 hrs per week
Fixed Term for 12 months (with an option to extend for a further 6 months

Coventry and Warwickshire Partnership NHS Trust (CWPT) has successfully secured funding from NHS England to become a Global Digital Exemplar Fast Follower. This means services from CWPT will be harnessing the latest innovations in patient care and safety through the use of digital technology. For trust staff and patients, this is a significant step towards our ambition of harnessing more technology to provide safe, sustainable patient care throughout our services now and in the future, and empowering local people to take more control of their condition, creating greater independence and improving understanding of how best to manage their health needs. Being a GDE fast follower affords us access to national expertise and resource and helps to transform the services we offer through our own digital improvement programme, for us and our health and care partners across the patch, enhancing our service portfolio alongside our colleagues across health and social care.

There are a number of exciting opportunities across roles in project management, systems and analytics to be part of this programme, working in partnership with clinical services to enable the delivery of clinically led digital transformation and the benefits it brings. For further information please contact Jayne Flynn, Assistant Director of Systems, Information and Business Intelligence

The post holder will support the Head of Information in the development and implementation of a Trust-wide information strategy that delivers the information requirements of the organisation, and promotes effective business partnership working and the development of an information culture.
• To support in the development and implementation of national datasets and returns
• To develop and establish key information performance monitoring mechanisms for datasets and returns to enable the early identification of adverse performance variance and to liaise with the relevant operational managers to agree appropriate action
• To work closely with operational services and teams to further develop understanding of the information processes and data capture.
• To deputise for the Deputy Information Manager in relation to information issues as and when required.

Applicants must be educated to first degree level or equivalent and have evidence of continuous professional and personal development. Applicants will have considerable experience in an information role in the NHS together with a demonstrable knowledge of NHS Information data definitions and standards and returns and datasets. They will also have a working knowledge and understanding of clinical systems and be able to work with, manipulate and understand highly complex data and information to ensure targets are met and plans are produced which will ensure objectives can be achieved. Applicants will have excellent communication skills and have the ability to communicate and present complex information to non-information individuals. Applicants will also be able to work autonomously and effectively on own and as part of the Team and can lead others by effective engagement and communication skills.

Please note Trust interviews are currently taking place through Microsoft Teams, this can be downloaded either through the App Store or Google Play for use on your phone/tablet.",4.0,"Coventry and Warwickshire Partnership NHS Trust
4.0","Coventry, England",1001 to 5000 Employees,Hospital,-1,-1,Less than $1 million (USD)
Senior Operational Analyst / Operational Research Consultant,"Our client is a successful technical consultancy providing professional services and are a technology partner to global, defence, energy, space and intelligence & communications companies.

As a Senior Operational Analyst Consultant, you will be providing the evidence to help the UK MOD and industry to make better decisions. This may be thought-leadership on innovative research to develop new concepts and approaches, working in customer teams to support procurement decisions with analytical thinking and outcomes, modelling of operational performance and sustainment, historical analysis to support learning lessons from previous operations, or leading workshops with customers and Subject Matter Experts to improve policies and planning processes.

Our client’s recent successes within UK MOD mean that the company’s Operational Analysis team are looking for consultants with a range of levels of experience. They are interested in people who engage customers technically and personally, with the ability to provide analytical insight. They need people who work to improve themselves and others, and have the positive, flexible and self-motivated attitude necessary for working in a small company. Your work will support departmental policy, acquisition projects, ongoing operational efficiency, and business cases. You will present and engage with customers and stakeholders and undertake a range of modelling and analysis.

Responsibilities for the Senior Operational Analyst / Consultant will include:

Delivering technical consulting projects.

Identifying and winning work within the Defence sector.

Building new relationships and maintaining the relationships we have with our current customers.

Using and developing problem structuring methods and a variety of tools and techniques, including novel approaches where required.

Working organically in customer teams to deliver rapid turn-around analysis or using one of the company’s offices as a team hub from which to plan and deliver tasks.

Expertise Required

Our client is looking for a range of experience:

Senior Consultants: 5+ years’ experience, including delivering analysis programmes, delivering innovative approaches, and / or winning work; and

Principal Consultants: 8+ years’ experience, with extensive experience of leading analysis, leading teams, delivering innovative approaches and / or winning work.

Essential requirements for this role:

Operational Analysis to support business decision making, policy development, and / or research, including both ‘soft’ and ‘hard’ techniques (problem structuring and modelling). Structuring information, drawing conclusions and making recommendations.

Development and use of analytical methods and models.

Building customer and stakeholder relationships.

Supporting and leading authoring of technical reports and presenting to customers. Reporting appropriately for the audience: summarising complex information for high-level stakeholders and writing detailed reports to transfer knowledge and context with the customer.

Experience working with DE&S, Dstl and the Frontline Commands or consulting within the UK Defence industry.

Strong background in MS Office, especially Excel, PowerPoint, Word.

Experience in one or more of the following technical disciplines:

Process and conceptual mapping (e.g. influence diagrams),

Statistical analysis,

Wargaming,

Simulation (System Dynamics or Discrete Event Simulation),

Optimisation,

Designing and facilitating workshops,

Historical Analysis,

Knowledge of data manipulation and analysis languages (VBA, SQL, R, Python),

Cost analysis/estimation,

Portfolio, programme and project management (schedule and risk analysis, benefits realization, evidence management).

Be willing to travel across UK and comfortable to work away from main sites for periods of time.

For more senior positions, they would expect some experience in the following:

Identifying and bidding for future work.

Leading diverse analytical teams of in-house and external experts and advising other consultants and supporting when required on projects.

Understanding of the military operational environment and MOD management structures.

Strong knowledge of MOD approvals, the MOD acquisition cycle and Defence Lines of Development.

Senior Operational Analyst / Operational Research Consultant – Defence

Salary: £45,000 to £60,000 negotiable plus 25 days holiday, pension

Location: Fareham, Hampshire or Bristol or Corsham, Wiltshire",-1,Gregory-Martin International,"Corsham, England",1 to 50 Employees,Unknown,Publishing,Media,Unknown / Non-Applicable
Senior Data Analyst - Geophysics background,"We are looking for a data analyst to join our rail department provides track condition data to customers based all around the world in order to support railway maintenance activities.

To do so we capture data using the latest technologies and utilise techniques such as Ground Penetrating Radar (GPR), Mobile Terrestrial Laser Scanning (MTLS) and panoramic imagery. This is an exciting and varied role that will require processing, analysing and presenting data in ways that can provide additional insight to our customers.

Skills

We will provide all relevant training on the various data types, but the following core skills are required:
Proficient in either MATLAB or Python
Experience with data visualisation software such as Tableau or Power BI
Experience performing statistical analyses
Excellent communications skills and ability to report the results of surveys in a clear and concise manner
In addition, the following skills would be desirable in this role:
Geophysics experience, especially with ground penetrating radar (GPR)
Post processing of GPS/INS data.
Familiarity with GIS software, such as ArcGIS or QGIS.
Experience interpreting 3D point cloud data, e.g. for terrain modelling or asset mapping
AutoCAD
Exposure to SQL databases, especially database design and optimisation.
Knowledge of machine learning
Familiarity with version control
Job Types: Full-time, Permanent

Salary: £32,000.00-£40,000.00 per year

Schedule:
Monday to Friday
Experience:
Data Analysis: 5 years (Preferred)
Work remotely:
Yes",-1,Dean Personnel,"Oxford, England",-1,Unknown,-1,-1,-1
Cyber Security Analyst/IT Security Analyst,"Outsource UKs cyber team have an exciting opportunity for an IT Security Analyst to join an organisation in Berkshire on a permanent basis

You will have previous experience working in a SOC environment and will be able to hit the ground running working as part of the Security Operations Team (Monday - Friday, 9-5) The client do offer flexible working and are happy for candidates to work from home although you would be required to go to site for meetings etc roughly 2-3 times a month

You will be responsible for helping to protect the organisation from threats and vulnerabilities and monitoring the network to prevent data loss, analysing security events and providing root cause analysis. You will monitor threat intelligence feeds and research vulnerabilities to identify business impact.

The ideal candidate will:

Have a real passion for cyber security and will be actively involved in the industry.
Have worked in a SOC environment
You need to have experience with SIEM solutions and understand what they do and how they work
Good understanding of network protocols and troubleshooting
Threat detection and investigation
Keen to learn and want to investigate

The client is offering an attractive salary of £40000-£50000 and benefits package",-1,Outsource UK,"Reading, England",-1,Unknown,-1,-1,-1
Senior SOC Analyst,"Job Title: Senior SOC Analyst

Location: WFH / Gaydon

Rate: Up to £500 per day Ltd/Umbrella Company

Employment Type: Contract – 31/03/2021

Hours: Standard 40 Hours Per Week

Reference: J36745

Position Description

Senior SOC Analyst ""Responsible for monitoring, detecting, containing, and remediating security incidents utilising a suite of security software tools. .


Key Accountabilities & Responsibilities
Manage a suite of Security Products.
Can offer SME advice to security driven projects.
Perform in-depth and advanced analysis of security-related events.
Perform Threat Hunting tasks.
Manage escalated security-related events, advising Cyber SOC Manager in making evidence-based decisions on how to respond based on the extent and severity of the intrusion, drawing on knowledge of threat actors, including their motivation, infrastructure and capabilities.
Applying threat intelligence to build an awareness picture of emerging issues within the SOC.
Continual development of analysis playbooks and tradecraft
Proactively contribute to SOC strategy by refining standards, processes and procedures.
Handle incidents across Windows, Mac, and Linux platforms
Experience Required
Previous experience of modern SIEM solutions including incident investigation and threat hunting
Previous experience and understanding of Next Gen EPP / EDR technologies.
Previous experience of handling incident response for organizations Experience working within a SOC / NOC environment.
Experience in handling incident response for organizations.
Experience in threat hunting and investigating.
Understanding of cyber security threat scenarios and countermeasures.
General network knowledge, tcp/ip troubleshooting.
Ability to perform static and dynamic malware analysis to understand the nature of malware.
Understanding of common Intrusion Analysis models (e.g. Cyber Kill Chain¿) and ability to apply them to enhance analysis and reporting.
Advanced knowledge of current threat landscape and a good understanding of malware operations, indicators, and known examples of APTs.
Ability to identify developing patterns and trends in data.
Understanding of technology and actively maintains awareness of developments in the intrusion analysis, incident response and information security fields. ¿ Understanding of common Intrusion Analysis models and can readily apply them.
Ability to rapidly distinguish between genuine and false detection events and respond appropriately (such as undertaking signature improvements and implementing ways to minimise false positives).
Experience of relationship management of senior stakeholders.
Vulnerability Scanning and reporting ideally based on Qualys.
Next Gen EPP / EDR technologies.
Ability to provide technical and service leadership to T1 and T2 analysts
Good understanding of ITIL processes, including Change Management, Incident Management and Problem Management.
Contribute to Incident Response investigations working with the Incident Response team
Experience of modern SIEM solutions.
You will be expected to work unsociable hours to support business requirements (i.e. cyber incidents)""

Experience Preferred
Qualifications: o CEH o CompTIA CySA+ o GSEC o SSCP o CISSP o ITIL
Experience of network-based User Behaviour Analytics (DarkTrace, ArcSight User Behaviour Analytics etc)
Experience of security assessment and penetration testing tools
Experience of packet-capture tools and analysis of packet flows
======================================================================

Do not miss out on your chance of interview – APPLY NOW!

Our Clients are unable to provide sponsorship for Tier 2 General Visas; therefore, only candidates eligible to work in the UK need apply!

Caresoft Global Limited operates as an Employment Business and Employment Agency.
We are an independent highly-experienced recruitment consultancy dedicated to specialist markets within the Automotive, Aerospace, Agricultural & Construction Industries.

No terminology within this advert is intended to unlawfully discriminate on the grounds of age, sex, race or disability and we welcome all applications.",2.9,"Caresoft Global
2.9","Gaydon, England",1001 to 5000 Employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Senior Information Analyst - Band 6,"Department: Business Intelligence Unit

Location: Riverside House, Cheltenham General Hospitalwith travel required to

Gloucester

Job Type: Permanent

Working pattern: Full Time - 37.5 Hours/Week

Pay Scheme: Agenda for change

Pay Band: 6

Staff Group: Administrative & Clerical

We are offering the opportunity to join our growing Data Team who have recently embarked on an ambitious data warehouse redevelopment programme. With an impressive database infrastructure in place the team are redeveloping all data processes and we now need additional team members to accelerate this development.

We are looking for candidates who are keen to develop themselves and make the most of this opportunity. A background in data warehousing is desirable but we are also interested in talking to candidates who have gained strong SQL skills from analytical or data management experience and who are now looking to move into a database development role. Alternatively, you may have recently graduated in a subject that has given you practical exposure to the skills this role needs.

You’ll be working with an expert, highly experienced team and we will support and develop you to succeed in this role.

We want to meet people who, as a part of a team, help us drive our Trust Business Intelligence strategy forward. The work will be challenging and rewarding, your contribution will be valued and you will make a difference to our patients and those who care for them. If you feel you have the skills and ambitions to succeed in this role, we would love to hear from you.

Closing Date: 01/11/2020

Contact Name: Spencer Thorn, Deputy Head of Business Intelligence (Data Services)

Email Address: spencer.thorn@nhs.net",3.9,"Gloucestershire Hospitals NHS Foundation Trust
3.9","Cheltenham, England",5001 to 10000 Employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
CIB Chief Data Office - Data Quality Management - Analyst,"Job Description

JPMorgan's Corporate & Investment Bank (CIB) is a global leader across banking, markets and investor services. The world's most important corporations, governments and institutions entrust us with their business in more than 100 countries. With $18 trillion of assets under custody and $393 billion in deposits, the Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world.

Department Description

The CIB Chief Data Office (CDO) is accountable for transforming the approach to managing data to create an industry-leading data environment in terms of control, cost, and efficiency. The program scope continues to evolve and encompasses cultural, behavioral, procedural and systemic transformation across the full range of data domains (such as reference, market and transaction).

Background

The successful candidates will join a team focused on transformation of Data Quality management across FW teams and within the CIB, be responsible for supporting the strategy and execution of Chief Data Office's initiatives as well as creating a best in class DQ management capability that can be leveraged across the Firm.

The role will require working with stakeholders across the CIB and other line of business (LOB) CDO teams and Firmwide Data Management, looking to leverage best practice across the industry and other J.P. Morgan business units.

In particular, the role will deliver capabilities required by the recent Firmwide Data Governance Policy, including the Data Content Owner role and associated operating models, processes and tooling.

This role is a an outstanding opportunity within JPMorgan and will offer the candidate the opportunity to join a high profile team and take a partnership role within the CIB Chief Data Office group to support one of the most significant change programs.

Key roles and responsibilities

Working within the change team, contributing towards the following:

Design, delivery and implementation of the Firmwide Data Quality (DQ) Standards, Operating Model and associated training and tooling
Influence the design and contribute to the delivery and implementation of the DQ standards and Operating Model
Liaise with CDO teams across the firm to develop DQ in context of the wider data governance process, e.g. data ownership, data sourcing, data lineage, metadata and definition
Manage the design and development of tooling solutions
Ownership of associated training requirements, partnering with the Firmwide Data Management (FDM) training lead and training technology teams
Firmwide Operational Risk and DQ convergence for Issue Management
Investigating opportunities for closer alignment of DQ and Operational Risk capabilities for DQ Issue Management and generate proposals
Influence stakeholders across Corporate/LOB/Firmwide teams and the Control Organization, for agreement of proposals and subsequent implementation
Continued advancement of the Data Quality program
E.g. explore the use of Artificial Intelligence (i.e. machine learning) to assist in accomplishing Data Quality Issue Management
Act as an ambassador for Data Quality within CIB and with other LOB/CF stakeholders
Collaborate with other FDM teams (DNA, Data Use, Controls) as required to achieve objectives and further the FDM Strategy

Skills Required

Effective change management skills - willingness to support & adopt within a fluid environment
Self-starter, able to work autonomously with strong time management skills; efficient at multi-tasking and able to work under pressure to deliver multiple business demands on-time, to a high standard
Strong analytical and problem-solving skills
Hands on project experience
Business analysis experience
Confidence in communicating internally at all levels; excellent presentation (both oral and written) and influencing skills - candidate will be dealing with stakeholders of varying degrees of seniority (up to MD level) across Corporate/LOB/Firmwide teams
Understanding and experience of Data Governance principles
Understanding of Data Management strategy and capabilities
Experience of the Operational Risk & RCSA process preferred
Basic understanding of the company's business practices and familiarity with the company's products and services
Capacity to think laterally and convey an understanding of the big picture
Technical skills, e.g. VBA (MS Access / Excel), would be advantageous
Strong practical experience of Microsoft Excel, PowerPoint, Word etc.
J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",3.8,"JPMorgan Chase Bank, N.A.
3.8","Bournemouth, England",10000+ Employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$10+ billion (USD)
Lead Data Analyst - Climate & Sustainability - GHG Emissions,"Title: Lead Data Analyst, Climate & Sustainability - GHG Emissions

Summary:

As Lead Data Analyst for the GHG emissions database, you will be responsible for managing a team to structure, build and maintain a database capturing emissions information across the energy value chain. The creation of this database and subsequent analytical solutions will be a critical step towards helping our clients meet their emissions reduction goals. This position interfaces with product management and development colleagues to ensure data quality and commercial relevance for the emissions content as it is surfaced to clients across multiple commercial outlets. Collaboration will be a key characteristic of this role as it will also require working across several different IHS Markit verticals to integrate content over time.

Job Duties:

Build and maintain analytics dashboards used to analyze and QA/QC emissions data across different data hierarchies
Develop models, algorithms and data pipelines that leverage the wealth of IHS Markit emissions data to provide actionable insights to clients
Analyzes and addresses data quality issues, tests and analyzes impact of system changes to data/publishing infrastructure.
Create a schedule and process for automating data updates
Constantly investigate the availability of additional value-added data
Work with the development team to structure a database to allow for the efficient integration of multiple data types and the rapid display of this data in a web application
Coordinates with other teams to leverage synergies and opportunities to share technologies and/or integration of data

Education/Experience Requirements

Bachelor’s Degree (or equivalent) in Mathematics, Engineering, Sciences or related field required. Graduate degree highly desirable.
5-10 years of industry-related experience with a current knowledge of the Energy sector preferred
Experience with team management, staff development, goal setting, and project management
Proficiency with data management, business intelligence tools (Power BI, Spotfire)
Experience coding in Python, or R, SQL, VBA
Proficiency with Office 365 (Teams, Excel, Word, Powerpoint)

Other Skills

Excellent analytical and problem-solving skills
Strong analytical skills and the ability to think quantitatively and qualitatively in forming judgments.
Experience with large data sets
Ability to advance analysis with incomplete inputs and knowledge also required.
Must be able to work effectively as part of a product team and foster team cooperation, often remote
Must be able to effectively communicate technical information to both technical and non-technical personnel
Inclusion and diversity are critical to the success of IHS Markit, and we actively encourage applications from people of all backgrounds. We are committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, status as a protected veteran, or any other protected category. For more information on the many ways in which we enthusiastically support inclusion and diversity efforts for both candidates and employees, please access our Inclusion & Diversity Statement here.
We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency Statement
Current Colleagues
If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.",3.9,"IHS Markit
3.9","Tetbury, England",10000+ Employees,Company - Public,Consulting,Business Services,$2 to $5 billion (USD)
Senior/Principal Threat Hunting Analyst,"QinetiQ comprises teams of dedicated people; experts in defence, aerospace, security and related markets. We draw on our extensive technical knowledge and intellectual property to provide the know-how and support to solve some of the world’s most challenging problems. Our people make the critical difference to customers by providing unique approaches to problem solving. Why don’t you join some of the world’s finest scientific and technical minds and help us make tomorrow work today?

Job description/Person specification
Due to continued growth across QinetiQ's cyber division, we are looking to appoint an experienced professional to develop and lead the new threat hunting capability at the heart of the threat hunting service. This is part of a portfolio of cyber security services provided by our Enterprise Cyber business to internal and external clients.

The successful applicant will have a true passion for cyber security, and a relentless desire to stay ahead of the adversaries, evidenced by significant continuous professional development. You will have the ability to shape the service, developing and leading a team including training and coaching junior cyber analysts, developing QinetiQ’s threat hunting capability (in the context of QinetiQ’s wider cyber security capability) maturity from Level 1 to Level 2 and beyond (ref. UK Government Threat Hunting Capability Maturity Model, “Detecting the Unknown: A Guide to Threat Hunting”, v2.0 March 2019“)

(This is not a shift or night working role)

Key Accountabilities Include:

• Proactively search and detect advanced persistent attacks underway on a system
• Reverse engineer and analyse attacks (including malware) to understand their tools, methods and root causes
• Creating hypotheses and investigate using modern tools and techniques
• Create use cases for detecting new threats, either as a result of research, collaboration (e.g. red/purple teaming), Threat Intelligence (TI), in response to incidents, or using your intuition
• Engage in research projects regarding detection methods
• Summarise findings in the form of blogs, reports or whitepapers, tailoring the technical content to suit the intended audience
• Lead a team in a complex organisational environment that does all of this drawing on expertise from other areas as required
• Deliver effectively in an operational environment fully integrated with our other cyber security services, meeting targets and delivering to service level agreements
• Develop the maturity of the Threat Hunting capability
• Coach and train more junior cyber analysts to become capable threat hunting analysts

The successful candidate will have experience of working in an information security role in an operational environment, able to proactively detect Advanced Persistent Threats, in addition to Hacktivists, ‘Script Kiddies’ and other adversaries
You will have experience utilizing threat hunting tools, big data platforms, Security Information and Event Management (SIEM) experience, ideally both Splunk and LogRythym.

You will have the ability to lead a service, and work effectively alongside individuals with varying levels of experience, adapting quickly to the challenges of the role.

#QQ
#LI – QQ",3.5,"QinetiQ
3.5","Great Malvern, England",5001 to 10000 Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
Sr Finance Analyst,"Dematic is a leading supplier of integrated automated technology, software and services to optimize the supply chain. Dematic employs over 7,000 skilled logistics professionals to serve its customers globally, with engineering centers and manufacturing facilities located around the world. Dematic is one brand under the KION Group of companies and has implemented more than 6,000 integrated systems for a customer base that includes small, medium and large companies doing business in a variety of market sectors.
Headquartered in Atlanta, Georgia, Dematic is a member of KION Group, a global leader in industrial trucks, related services and supply chain solutions. Across more than 100 countries worldwide, the KION Group designs, builds and supports logistics solutions that optimize material and information flow within factories, warehouses and distribution centers. The company is the largest manufacturer of industrial trucks in Europe, the second-largest producer of forklifts globally and a leading provider of warehouse automation.

Due to continued growth, Dematic is seeking a Sr Finance Analyst to join the FP&A team. The Finance Analyst will report to the Head of FP&A and will have exposure to the Leadership Team (LT).
This individual will be responsible for conducting financial analysis, budgeting, forecasting, and delivering insightful recommendations to support the attainment of financial goals. The ideal candidate will be highly analytical with a mindset towards process improvement and possess strong communication and collaboration skills.
Preparation and review of monthly financial information including analysis of operational performance versus forecast, budget, and prior year
Responsible for managing and delivering on all internal and external reporting requirements including:
NE Finance book
Monthly forecasts
Month end actuals reporting
Pacing calls
Quarterly business reviews
Budget & STRAP
Cashflow & working capital management
Intercompany recharges management
CAPEX and depreciation management
Ability to analyse data and provide executed level commentary to be communicated and presented to senior leadership
Continually monitor business performance, creating robust analytics, and processes which facilitate the understanding of business results to provide insight into new trends, opportunities, and risks
Ad hoc reporting

Qualified accountant with 5+ years post qualification experience
Ability to work under strict deadlines and assist in enforcing compliance with deadlines
Able to take the initiative and demonstrate an attitude towards continuous improvement
Ability to build trusting relationships and partnerships throughout the organization acting as a team player
Strong organizational skills, multi-tasking ability, and attention to detail
High degree of motivation, intelligence, independent worker mindset with an orientation to detail
Proven quantitative and analytical abilities
Strong MS Excel and MS PowerPoint Skills are essential
Experience of driving change
Excellent communication and inter-personal skills",3.9,"Dematic
3.9","Banbury, England",10000+ Employees,Subsidiary or Business Segment,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable
